NB,H_BS,H_PRODUCT,HS_UPI,H_DVCS,TP_STATUS2,CANADA,CANADIAN_DERIVATIVE_STATUS,CLEARING_THRESHOLD_EXEEDED
159090897,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159090898,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159090900,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159090901,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159090902,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159090904,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159090908,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159090909,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159090911,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159090913,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159090916,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159090919,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159090920,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159091066,S,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,,Y,
159091067,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159092846,S,COM_SWAP,Commodity:Energy:NatGas:Swap:Cash,,LIVE,N,Y,
159092853,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159092854,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,Y,Y,
159093754,B,COM_SWAP,Commodity:Energy:Oil:Swap:Cash,,LIVE,Y,Y,
159096969,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,N,Y,
159097240,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
159101204,S,COM_SWAP,Commodity:Energy:Oil:Swap:Cash,,LIVE,,Y,
159101205,S,COM_SWAP,Commodity:Energy:Oil:Swap:Cash,,LIVE,,Y,
159101206,S,COM_SWAP,Commodity:Energy:Oil:Swap:Cash,,LIVE,,Y,
159103720,S,IRD_CF,InterestRate:CapFloor,C                                                 ,MKT_OP,,Y,
159103744,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
159103745,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159103751,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
159103752,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159103761,S,EQD_OPT_OTC,Equity:Other,C                                                 ,LIVE,,Y,
159103762,S,EQD_OPT_ASI,Equity:Other,C                                                 ,LIVE,,Y,
159184626,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184628,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184633,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184634,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184635,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184637,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184638,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184639,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184640,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184641,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184642,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184643,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184644,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184645,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184646,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184648,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184651,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184653,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184654,S,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184657,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184659,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184660,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184661,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184662,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184663,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184664,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184665,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184666,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184667,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184668,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184670,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184671,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184672,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184673,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184674,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184675,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184676,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184677,B,CURR_OPT_RBT,ForeignExchange:SimpleExotic:Digital,C                                                 ,LIVE,Y,Y,
159184678,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184679,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184680,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184681,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184682,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184683,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184684,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184685,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184686,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184687,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184688,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184689,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184690,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184691,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184692,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159184693,B,CURR_OPT_BAR,ForeignExchange:SimpleExotic:Barrier,D                                                 ,LIVE,Y,Y,
159185409,S,CURR_FXD_SWLEG,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
159185923,S,CURR_OPT_FLEX,ForeignExchange:ComplexExotic,D                                                 ,MKT_OP,,Y,
159186686,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186687,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186688,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186689,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186690,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186691,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186692,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186693,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
159186694,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
